ISO,Country,Region,Subregion,DevelopmentRegions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest
THA,Thailand,EAP,EAP,Less Developed,65,72,59,58,71,38,59,63,73,88
TLS,Timor-Leste,EAP,EAP,Least Developed,52,55,49,36,76,19,28,43,61,81
TGO,Togo,SSA,WCA,Least Developed,21,12,31,9,32,1,7,18,26,37
TON,Tonga,EAP,EAP,Less Developed,51,56,45,50,55,20,37,54,66,75
TUN,Tunisia,MENA,MENA,Less Developed,49,57,40,30,57,24,31,48,59,80
TUR,Turkey,ECA,EECA,Less Developed,47,44,51,26,52,13,35,46,62,82
TKM,Turkmenistan,ECA,EECA,Less Developed,97,97,97,97,97,99,96,96,97,97
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,98,96,100,100,98,97,100,95,100,99
TUV,Tuvalu,EAP,EAP,Least Developed,53,60,45,42,56,27,47,57,53,68
UGA,Uganda,SSA,ESA,Least Developed,17,15,18,11,30,3,6,7,14,38
UKR,Ukraine,ECA,EECA,More Developed,97,97,97,94,98,91,97,98,98,99
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,29,27,32,17,49,6,8,15,29,62
URY,Uruguay,LAC,LAC,Less Developed,38,29,48,20,40,5,13,41,49,91
VNM,Viet Nam,EAP,EAP,Less Developed,56,61,50,48,71,19,44,56,70,90
YEM,Yemen,MENA,MENA,Least Developed,30,23,37,20,47,9,15,25,33,56
ZMB,Zambia,SSA,ESA,Least Developed,30,27,33,13,47,3,8,20,32,66
ZWE,Zimbabwe,SSA,ESA,Less Developed,15,14,17,6,29,1,3,7,17,37
